dset	tissue	tissue_group	tissue_id
GN206	brain_hippocampus	brain	brain_hippocampus_1
GN267	eye_retina	eye	eye_retina
GN283	spleen	spleen	spleen
GN207	eye_whole	eye	eye_whole
GN539	GI_small_intestine	GI	GI_small_intestine
GN164	brain_whole	brain	brain_whole_1
GN113	brain_whole	brain	brain_whole_2
GN112	brain_hippocampus	brain	brain_hippocampus_2
GN814	brain_hippocampus	brain	brain_hippocampus_3
GN815	brain_hippocampus	brain	brain_hippocampus_4
GN781	brain_hippocampus	brain	brain_hippocampus_5
GN782	brain_hippocampus	brain	brain_hippocampus_6
GN55	brain_cerebellum	brain	brain_cerebellum
GN285	brain_striatum	brain	brain_striatum
GN135	brain_prefrontal_cortex	brain	brain_prefrontal_cortex_1
GN136	brain_prefrontal_cortex	brain	brain_prefrontal_cortex_2
GN137	brain_prefrontal_cortex	brain	brain_prefrontal_cortex_3
GN156	brain_nucleus_accumbens	brain	brain_nucleus_accumbens
GN284	brain_neocortex	brain	brain_neocortex
GN280	brain_amygdala	brain	brain_amygdala
GN281	brain_hypothalamus	brain	brain_hypothalamus
GN389	brain_pituitary	brain	brain_pituitary
GN381	brain_midbrain	brain	brain_midbrain
GN228	brain_ventral_tegmental_area	brain	brain_ventral_tegmental_area
GN388	adrenal	adrenal	adrenal
GN117	kidney	kidney	kidney
GN105	liver	liver	liver_1
GN430	liver	liver	liver_2
GN160	lung	lung	lung
GN410	bone_femur	bone	bone_femur
GN178	cartillage_chondrocytes	cartillage	cartillage_chondrocytes
GN378	muscle	muscle	muscle
GN469	adipose_brown	adipose	adipose_brown
GN148	cells_hematopoetic_myeloid	cells	cells_hematopoetic_myeloid
GN150	cells_hematopoetic_erythroid	cells	cells_hematopoetic_erythroid
GN149	cells_hematopoetic_stem	cells	cells_hematopoetic_stem
GN151	cells_hematopoetic_progenitor	cells	cells_hematopoetic_progenitor
GN319	cells_helper_T	cells	cells_helper_T
GN122	cells_regulatory_T	cells	cells_regulatory_T
